Article,Date,Heading,NewsType
"strong>SINGAPORE: Oil prices nudged higher on Wednesday on expectations of a U.S. crude inventory draw, although trading activity was muted as markets start to wind down ahead of the Christmas weekend.</strongU.S. West Texas Intermediate (WTI) crude oil futures CLc1 were trading at $53.58 per barrel at 0105 GMT, up 28 cents from their last settlement.International Brent crude oil futures LCOc1 were at $55.57 a barrel, up 22 cents.Traders said the higher prices were largely due to an expected reduction in U.S. crude oil inventories, which will be reported late on Wednesday.Jeffrey Halley, analyst at futures OANDA in Singapore said U.S. crude stocks were expected to fall by 2.563 million barrels.In the absence of strong fundamentals, traders said that technical support and resistance levels would become price drivers.""U.S. oil may rise to $54.37 per barrel, as it has broken resistance at $53.36,"" said Reuters technical commodities analyst Wang Tao.""Brent oil is poised to break a resistance at $55.79 per barrel,"" he said.",12/21/2016,Oil prices edge up on expected US crude inventory dr,business
"strong>KARACHI: A consortium led by three Chinese exchanges has offered 28 rupees ($0.27) per share to buy a 40 percent stake in the Pakistan Stock Exchange, according to a statement and the bourse's top official.</strong""All I can say ... is the Chinese consortium is the top bidder,"" Managing Director Nadeem Naqvi told Reuters on Thursday ahead of an official announcement of the bids.The consortium is led by the China Financial Futures Exchange Company Limited, the Shanghai Stock Exchange and the Shenzen Stock Exchange, according to a PSX statement.It also includes two Pakistani financial institutions, the Pak-China Investment Company Limited and Habib Bank Limited (HBL.KA).Naqvi said 40 percent of the Karachi-based stock exchange represents 320 million shares. That would make the potential deal worth PKR 8.96 billion ($85 million).Earlier, at least 17 parties submitted expressions of interest, Naqvi said. He would not say how many had made formal bids.Pakistan's stock exchange has been one of Asia's best performing for several years and was recently approved to be restored to the MSCI Emerging Markets Index, giving it a wider range of potential investors than as a Frontier Market.The index has since gained 21 percent in terms of points, closing at 46,699.78 on Thursday.""The Divestment Committee will now issue the Letter of Acceptance to the above Consortium, subject to formal approval of Securities and Exchange Commission of Pakistan [SECP],"" read the statement confirming the bid.Confidence in Pakistan is growing, with the International Monetary Fund claiming in October that the country has emerged from crisis and stabilised its economy after completing a bailout programme.Its credit rating has improved, while there are encouraging signs of foreign investment, such as a massive Chinese infrastructure project officials routinely call a ""gamechanger"".",12/22/2016,Chinese consortium top bidder for 40 percent stake in Pakistan Stock Exchang,business
"strong>RIYADH: Saudi Arabia on Thursday projected a 2017 budget deficit of about $53 billion and a lower than expected shortfall for this year after government cost-cutting in response to lower oil prices.</strongExpenses next year will reach 890 billion riyals ($237 billion) against revenues of 692 billion riyals ($184 billion), the cabinet said in a statement.It said this year’s deficit will be 297 billion riyals ($79 billion), down 8.9 percent from 2016’s budget forecast.""This budget comes at a time of a highly volatile economic situation... and which led to a slowdown in world economic growth and a drop in oil prices that impacted our country,"" King Salman said on official television, with Finance Minister Mohammed Aljadaan seated nearby at a table of cabinet ministers.Revenues for this year are expected to be 528 billion riyals, higher than projections a year ago of 513.75 billion, the cabinet said.Spending is expected to come in at 825 billion riyals for 2016, 1.8 percent lower than foreseen.The world’s biggest oil exporter froze major building projects, cut cabinet ministers’ salaries and imposed a wage freeze on civil servants in the wake of last year’s record deficit of $97 billion.Analysts said that figure was 15 percent of gross domestic product, making it one of the largest in the emerging world.The government made unprecedented cuts to fuel and utilities subsidies last year in a country long accustomed to some of the cheapest petrol prices in the world.A year of cutbacks left retailers complaining of lower sales and residents saying they had less money to spend.""Given the opaqueness of policy announcements, the budget will provide investors with an opportunity to gauge the government’s commitment to fiscal austerity,"" London-based Capital Economics wrote in a pre-budget briefing.Oil prices, which were above $100 a barrel in 2014, sank below $40 in 2016 but recovered towards the end of this year and traded on Thursday below $55.The plunge in global oil prices led Riyadh to intensify economic reform efforts, which are being led by Salman’s son, Deputy Crown Prince Mohammed bin Salman, 31.In April the prince released the Vision 2030 programme for diversifying the oil-dependent economy.At its heart is a plan to float less than five percent of state oil giant Saudi Aramco on the stock market, with the proceeds helping to form what will be the world’s largest state investment fund, holding about $2 trillion in assets.The IPO could take place in 2018 and would be the biggest in history.",12/22/2016,Saudi Arabia projects 53 bn deficit in 2017,business
"strong>WASHINGTON: US regulators fined Goldman Sachs $120 million Wednesday for attempting to manipulate a widely-used global interest rate benchmark to benefit its trading positions.</strongGoldman Sachs traders between 2007 and 2012 deliberately timed and priced trades to influence the published price of the benchmark interest rate, the US Commodities Futures Trading Commission said in a statement.Goldman, one of a group of banks whose data set the benchmark daily, also made false submissions to skew the rate at the expense of counterparties, the CFTC said.The US Dollar International Swaps and Derivates Association Fix is a daily benchmark used for a wide range of financial products, such as interest-rate swaps and derivatives.In addition, the company´s cooperation ""was not satisfactory"" prior to the latter stages of the investigation, the CFTC added.The agency previously fined Citigroup and Barclays for attempted manipulation of the same benchmark interest rate.""This matter, the third enforcement action relating to the (benchmark), demonstrates the breadth of this kind of misconduct across the industry, and within Goldman, the extent of the misconduct across trading desks and product lines,"" said CFTC director of enforcement Aitan Goelman.Besides paying the fine, Goldman´s supervisor for trading on interest-rate products must attest to the effectiveness of remedies to fix the problem.In a separate case,, the Swiss Competition Commission earlier Wednesday hit eight large global banks a total fine of nearly $100 million for rigging international rates between 2005 and 2010. The group included Barclays, Citigroup and JPMorgan Chase.",12/22/2016,US fines Goldman Sachs 120 mn in rate rigging scand,business
"strong>BEIJING: Top Chinese daily Global Times in an opinion piece has advised India to join the China-Pakistan Economic Corridor (CPEC) to ease tensions with Pakistan and boost growth.</strongThe writer suggested that surprise aside, New Delhi should consider accepting the olive branch Pakistan has extended in a bid to participate in the CPEC.In a surprise move, Commander Southern Command Lt General Amir Riaz on Tuesday invited India to join the CPEC and ‘share the fruits of future development by shelving the anti-Pakistan activities and subversion’.Such an opportunity could be transient. There is a possibility that the open attitude toward India joining the CPEC will quickly be overwhelmed by opposition voices from Pakistan if New Delhi does not respond in a timely manner to the general's overture, the op-ed piece noted.The ongoing dispute over Kashmir between India and Pakistan makes New Delhi vigilant about the $46 billion project as it will reportedly pass through Azad Jammu and Kashmir. However, like Pakistan, India's primary strategy is to promote economic and social development. The best way to reduce hostilities is by establishing economic cooperation based on mutual benefits to put aside what cannot be reached by a consensus.China has no intention of using the CPEC as strategic leverage to intervene in Pakistan and India's dispute. On the contrary, China is likely to adopt an open attitude toward India joining the CPEC and would be happy to see more friendly interactions between the two South Asian neighbors. The CPEC has long been seen as a flagship project in China's Belt and Road initiative and India's involvement would be conducive in pushing forward the initiative.India's economy has reportedly overtaken its former colonial ruler, the UK, to become the sixth-largest in the world by GDP. Now it seems the emerging economy is pushing past these current achievements. India is ramping up efforts to integrate itself into global manufacturing chains, and as such will need to boost regional economic integration and open new international trade routes to build an export-oriented economy.India could boost its exports and slash its trade deficit with China via new trade routes that would be opened up by the CPEC. In addition, the northern part of India bordering Pakistan will gain more economic growth momentum if India joins the project. It is understandable that cooperation between the traditional rivals may make India uncomfortable. However, New Delhi's attitude toward Pakistan's gesture can be a touchstone for the country's determination and courage in becoming a greater economic power.",12/23/2016,Chinese media advises India to ease tensions with Pak join CPEC,business
"strong>PARIS: Europe's Airbus signed a firm contract on Thursday to sell 100 jets to IranAir, completing a return by Western plane giants and paving the way for deliveries to start next month, a year after sanctions against Iran were lifted.</strongThe deal took weeks of shuttling between Airbus headquarters in Toulouse, France, and Tehran, complicated by a shortage of expert legal advice as Iran completes its biggest commercial deals with the West since its 1979 Islamic revolution.Confirming details first reported by Reuters, Airbus said almost half the jets would be for short to medium routes and that deliveries would start early next year.The contract includes 46 of the narrrow-body A320 family which includes the A321 model, 38 long-haul A330s and 16 of Europe's newest long-range model, the A350.Such a deal would be worth $18-20 billion at list prices, depending on variants flown, but Iran is expected to receive steep discounts from foreign manufacturers as its aviation renewal coincides with a drop in demand elsewhere.The head of IranAir was quoted earlier as saying the value of the contract would not exceed $10 billion.It is expected to be followed by a formal deal to buy turboprop aircraft from ATR, half-owned by Airbus.The breakthrough comes days after Iran signed a $17 billion deal with Boeing for 80 jets and is expected to sharpen efforts by the U.S. company to persuade the incoming U.S. administration to allow the trade to go ahead, aviation experts said.The first jet, an Airbus A321 already painted in IranAir livery, may arrive before the Jan. 20 inauguration of President-elect Donald Trump, who has opposed an international deal to lift sanctions in return for curbs on Iran's nuclear activities.""When Airbus and ATR aircraft start going into Iran, Boeing will point to that to argue that it should implement its own deal,"" said an aviation source who closely followed the talks.Boeing declined to comment.MOVING QUICKLYDespite rivalries, the Airbus and Boeing deals with Iran are unusually intertwined because each depends on continued U.S. clearances for the sale of planes built with U.S. parts.""Everyone has an interest in moving quickly. The Iranian government wants to show results from the nuclear deal; Airbus wants to get deliveries moving and Boeing wants the leverage it can get from European deliveries to Iran,"" another source said.The ability to renew Iran's ageing and accident-prone fleet is widely viewed as a test of the pragmatist policies of Iranian President Hassan Rouhani ahead of presidential elections in May.Airbus said the deal was subject to U.S. Treasury export licences granted in September and November 2016.Republican critics of the nuclear pact want Trump to block the aircraft deals and have sought to hamper them by voting to tighten restrictions on use of the U.S. financial system.Airbus is expected to be paid in euros instead of the usual dollars and is likely to provide its own financing for the first few jets, adding to cash strains caused by a spike in customer financing for Turkey this year.Planemaking chief Fabrice Bregier called the deal ""a significant first step"" in modernising Iranian aviation, adding it included training, airport operations and air traffic management.However, both sides confirmed the Airbus A380 had been jettisoned from a provisional list first agreed in January.",12/23/2016,Airbus seals deal with Iran for sale of 100 aircraf,business
"strong>RIYADH: Saudi Arabia plans to sell up to 49 percent of its oil giant Saudi Aramco within 10 years as the world´s largest crude exporter tries to lower its deficit, local media said Saturday.</strongThe Al-Eqtisadiah daily quoted an unnamed official as saying the sale would raise funds to be spent ""at home and abroad"" in what is expected to form the world´s largest state investment fund.The kingdom is looking to diversify its oil-dependent economy and has already announced cutbacks after its 2015 deficit snowballed to $97 billion (93 billion euros).The IPO for state-owned Aramco could take place in 2018 and an initial sale of a five percent share is expected to form the basis for the fund holding around $2 trillion in assets.The firm will next year begin publishing quarterly results in a bid to attract potential investors, Aramco chief Amin Nasser has said.Riyadh earlier this month agreed to slash its oil production beyond cuts agreed among OPEC members, giving crude prices a lift. They remain at around half of their mid-2014 levels.",12/24/2016,Saudi Arabia sell 49 Aramco within decad,business
QUETTA:  A huge reserve of oil and gas has been found in Jandran area of Marri Agency of Balochistan.These gas reserves are said to be much bigger than gas found in Sui Dera Bugti in early1950.Well placed sources confirmed that gas reserve found in Jandran region is much bigger than gas found in Sui Gas reserves from Sui first and followed by two other big reserves at Pir Koh and Loti field. Sui gas was main cause of industrial revolution in Pakistan mainly in Karachi and Central Punjab where gas replaced oil as an energy substitute.The fourth gas reserve was also found in Bugti tribal territory in Uch Mountains and the gas is being used by a private concern producing electricity at the two Uch Power Plants near Dera Murad Jamali in Naseerabad.The electricity produced at Uch Power Plant is sold to WAPDA and transmitted to National Grid in nearby province of Sindh and mainly its upper region.,12/26/2016,Huge oil gas reserves found in Balochi,business
"strong>ISLAMABAD: The finance ministry Monday categorically denied the news reports and rumors circulating in a section of press and some business circles regarding demonetization of Rs 5,000 note.</strongAccording to finance ministry’s spokesman, the government had not taken any decision regarding discontinuation of Rs 5,000 note, so there was no need to give any justification into the matter.He said the current denomination of highest value notes in Pakistan i.e. Rs 5,000 was significantly smaller as compared to those of major currencies such as $100 note, Euro 200 and Pound Sterling 50.During 2015-16, only 17% of the notes printed were of Rs 5000 denomination.The government believed that discontinuation of Rs 5000 note would adversely affect the efficiency of exchange in the business and become a source of major discomfort and anxiety for the people.“As such the very notion of cancellation of such convenience in transactions is preposterous and unequivocally denied,” spokesman said.The spokesman stated that the government was pursuing a National Financial Inclusion Strategy in association with the State Bank, whereby digital transactions and branchless banking was being brought to the doorstep of people that would significantly reduce the dependence on currency.This was the way to move forward for promoting documentation in the economy rather than by canceling any existing denomination, he added.He hoped that people would not lend their ears to rumors and trust the authentic word of their elected government. ",12/26/2016,Finance ministry dispels demonetization rumor,business
"strong>ISLAMABAD: Iran has offered to provide modern buses to improve public transport in Pakistan, especially in Sindh province.</strongAccording to Radio Tehran report, Iranian Consul General Mehdi Sobhani made the offer in a meeting with Sindh Minister for Transport and Mass Transit Nasir Hussain Shah.The minister lauded the CG for offering assistance in various transport-related projects and offering to provide 200 modern buses to improve public transport in the city.He said provision of a modern transport system to the people was a priority of the government and efforts were underway on various projects in this regard.The Iranian diplomat also invited the minister to bring along officials of the transport department to Iran on an exposure visit to witness the modern urban transport system operating in Tehran.",12/26/2016,Iran offers to provide buses for public transport sy,business
"strong>OMD Pakistan, a part of the Omnicom Media Group, on 30th November, 2016 won the title of ‘Pakistan Media Agency of the Year’ at the Campaign Asia-Pacific Agency of the Year Awards 2016.</strongThis is OMD Pakistan’s third consecutive award at Campaign Asia’s Agency of the Year Awards, but the first time as a winner of the Gold.OMD Pakistan achieved the accolade by demonstrating a strong business performance in 2016 - obtaining numerous top tier clients, whilst retaining 100% of its existing client base. The team takes pride in their creativity, innovation, service, transparency and commitment to its clients.Omnicom Media Group’s Asia Pacific CEO, Cheuk Chiang, said, “OMD Pakistan is a very strong force in our region and we couldn’t be prouder of their performance and growth this year”.OMD Asia Pacific CEO, Stephen Li, said, “OMD Pakistan has done it again and this time bagged the top, enviable title. We couldn’t be happier to raise the bar for ourselves every year. The award not only is a reflection on the agency’s performance but also mirrors the strong support of all their clients allowing them to indulge beyond the regular and deliver fearless creativity”.CEO OMD Pakistan, Dara Bashir Khan, commented, “Winning the Gold this time goes to show the trust and confidence our clients have in our abilities. It couldn’t have been possible without their support and our commitment towards unparalleled potential – the sky is definitely not the limit for us!”Campaign Asia-Pacific’s Agency of the Year Awards honor ‘inspired leadership, management excellence, outstanding business performance and overall achievements’, in Asia Pacific’s advertising and communications industries.",12/27/2016,OMD wins Pakistan Media Agency of the Year at the Campaign Asia Pacific Agency of the Year Awards 2016,business
"strong>BEIJING: China's non-financial outbound direct investment (ODI) is likely to hit 1.12 trillion yuan ($161.19 billion) in 2016 and foreign direct investment into China will total 785 billion yuan, Commerce Minister Gao Hucheng said on Monday.</strongThe government will ""promote the healthy and orderly development of outbound investment and cooperation"" in 2017, Gao said in remarks at a conference that were published on the ministry's website.China's ODI in November jumped 76.5 percent from a year earlier and it rose 55.3 percent in the first 11 months of 2016, the ministry's data showed, as local firms continued to invest abroad amid a slowing economy and weakening yuan.Separately, the ministry said on its microblog that China will sharply reduce restrictions on foreign investment access in 2017, opening up sectors where foreign companies have strong investment interest and risks are under control.No details were given on what restrictions will be changed.Earlier this month, China published draft foreign investment guidelines which it said would ""increase openness to the outside world"".Based on Gao's forecasts, non-financial ODI is set to surpass foreign direct investment into China by an unprecedented 335 billion yuan this year, amid worries about capital outflows.For all of 2015, the ministry reported non-financial ODI of 735.1 billion yuan, and FDI of 781.4 billion yuan.Gao said that in 2017, difficulties faced in maintaining a stable flow of foreign investment into China will increase, while sources of volatility for China's outbound investment will rise along with risks, according to an interview with state media published Monday.Beijing has announced a string of measures recently to tighten controls on money moving out of the country, including closer scrutiny of outbound investments, as the yuan skids and the country's foreign exchange reserves fall to the lowest levels in nearly six years.China will further enhance the competitiveness of its foreign trade and consolidate recent good momentum, Gao added.",12/27/2016,Chinas outward investment tops 161 billion in 2016,business
"LONDON: London stocks closed at a record high Wednesday on the back of a Santa Rally in subdued trade after a long Christmas holiday, while Wall Street retreated from record highs.The British capital´s benchmark FTSE 100 index of top blue-chip firms won 0.5 percent from last Friday as traders returned from a four-day holiday weekend, closing at a record high of 7,106.08 points, beating the previous record of 7,103.98 set in April 2015.The ""Santa Rally bullishness appears to remain firm on hopes of an OPEC-led production cut and Trump stimulus,"" Accendo Markets analyst Mike van Dulken told AFP, with rising oil prices boosting a number of FTSE 100 stocks.The record close came as US stocks have also been setting new highs following the US election victory of Donald Trump sparking hopes of additional spending and tax cuts, with the Dow having flirted with the 20,000 level in recent weeks.Rising commodity prices have also boosted mining companies on the FTSE.""The FTSE 100 is the star performer today, helped on its way higher by an excellent turn from the index´s mining contingent,"" said analyst Chris Beauchamp at online trading firm IG.Shares in Anglo American shot up 3.6 percent and BHP Billiton jumped 4.3 percent and Fresnillo soared 5.2 percent.Rangold rose 4.9 percent and Rio Tinto 3.4 percent.The main corporate deal of the day was British energy giant BP, which announced it has bought a network of Australian petrol stations from supermarket chain Woolworths for US$1.3 billion (1.2 billion euros).BP said in a statement that it will establish a strategic partnership with Woolworths in a deal for the purchase, rebranding and operation of Woolworths´ existing 527 fuel and convenience stores, plus 16 sites under construction, for the equivalent of AUS$1.8 billion.The company´s share price bumped 1.2 percent higher to close at 508.90 pence.Frankfurt and Paris, which had reopened Tuesday, were essentially flat on Wednesday.Thin trading volumes are expected to continue during what is the last trading week of 2016.",12/28/2016,Santa Rally gifts record close to London ,business
"strong>ISLAMABAD: Three years on, the China-Pakistan Economic Corridor (CPEC), described by Prime Minister Nawaz Sharif as a ""game changer"" for the entire region here, has entered into full implementation in 2016 and remarkable progresses have been achieved.</strongThis was stated in a recent analytical report by the Chinese state news agency, Xinhua.Chinese ambassador to Pakistan Sun Weidong reiterated on many occasions that 16 early harvest projects, including several power stations, highways and projects related to Gwadar Port, are under construction and tens of thousands of new jobs have been created for local people.""The China-Pakistan Economic Corridor is building a more amicable bond between our two brotherly countries. Our friendly cooperation is ushering in a golden era for greater development,"" said Sun during the ceremony of installation of a new chandelier at Mazar-e-Quaid, or the Mausoleum of the Founder of Pakistan Muhammad Ali Jinnah, in Karachi on Dec. 17.Last month, a trade convoy organized by the two countries successfully passed through the western part of Pakistan for the first time from the north to the south, proving the connectivity of local roads and the realization of the concept of ""one corridor with multiple passages"" under the CPEC.Meanwhile, Gwadar Port also marked its first export of massive containers to overseas destinations in November, showing that the port's designed handling capacity has been restored.""Since the commencement of the CPEC, 2016 is the year when we have seen a project completed or start working. In addition to the Gwadar Port operations, Prime Minister Sharif also inaugurated a number of others projects in the country, especially in some routes in the western part of the CPEC. There are at least 39 projects, the majority of them related to energy, where obvious progress has been seen during 2016,"" Saeed Chaudhry, director of the Islamabad Council for International Affairs, told Xinhua in a recent interview.img alt="""" src=""https://www.thenews.com.pk/assets/front/tiny_mce/source/CPECtrade.jpg"" style=""display: block; margin-left: auto; margin-right: auto;""/Chaudhry's remarks include the second phase of upgrading the Karakorum Highway from Havelian to Thakot and the highway linking Pakistan's largest cities of Karachi and Lahore. Both of the two highways have been smoothly implemented and for the former, the Abbottabad Tunnel construction project has begun and seen substantive progress.In terms of the energy field, China is helping boost green, low-carbon and sustainable energy development to address power shortage in Pakistan.Several wind power farms and hydropower stations are under construction and the eye-catching Port Qasim coal-fired power project in Karachi, which adopts a costly method to lower the temperature of the seawater used to cool the generating units in order to prevent them from heating up water temperature around the coast, is expected to be completed ahead of schedule and play its role in addressing Pakistan's electricity shortage.""We are not coming only for big projects, we are here to help countries, such as Pakistan, to plan and design their future energy development blueprints so as to address problems they are facing and to make the projects a reality,"" Yan Zhiyong, chairman of the Power Construction Corporation of China, which is charged with the construction of the Port Qasim coal-fire power project, told Xinhua earlier.img alt="""" height=""746"" src=""https://www.thenews.com.pk/assets/front/tiny_mce/source/133315067_13994248528241n.jpg"" style=""display: block; margin-left: auto; margin-right: auto;"" width=""826""/According to Bilal Khan, a senior economist at Standard Chartered Bank (Pakistan) Ltd., due to the enhanced infrastructure such as roads and railways brought by the CPEC, the gross domestic product (GDP) growth should increase from around 4.7 percent last year to around 6 percent by 2019, and stay around the same level for 2020 in the southern Asian country.""The CPEC itself for Pakistan at a bare minimum offers a significant opportunity for the country to address its supply side constraints such as weak foreign capital inflow,"" Bilal Khan told Xinhua earlier, adding that the CPEC will attract foreign direct investment from both private and public sectors to help keep a balanced current account in Pakistan against a backdrop of rebounding oil prices.""Before the CPEC, Pakistan's economy was feeble and stagnant, and investors, even ones of Pakistan origin were reluctant to invest in it, but right now the economic indicators of Pakistan have turned positive, investors from around the world are flocking to Pakistan, and the country's economy has been given new life and is booming and full of future prospects. Pakistan's main issue is shortage of revenue and unemployment, but the CPEC will provide solutions for the both,"" Chaudhry also pointed out.The professor also said that further afield, from Russia to central Asian states to Sri Lanka, the CPEC will bring a change to the countries' economies and to the lives of more than 3 billion people living in this region.""The project has already become the center of global attention, especially in our region,"" concluded the professor.img alt="""" height=""634"" src=""https://www.thenews.com.pk/assets/front/tiny_mce/source/C0upmD8XcAAJ77v.jpg"" style=""display: block; margin-left: auto; margin-right: auto;"" width=""1024""/",12/28/2016,In 2016 CPEC entered into full implementation Chinese state medi,business
"strong>ISLAMABAD: Pakistan expects to secure soft loans from China of about $1 billion this week for three road projects in the China-Pakistan Economic Corridor (CPEC), a Pakistani official said on Tuesday.</strongThe roads lie on the western route of CPEC, a $55 billion network of roads, rail links, power plants and other infrastructure connecting western China to Pakistan's southern port of Gwadar.They include roads from Raikot to Thakot, Yarik to Zhob and from Basima to Khuzdar, Ashraf Zaman, spokesman for Pakistan's National Highway Authority (NHA) told Reuters.Zaman said a deal was reached with the Chinese to finance the three additional roads in November.""Hopefully, agreement will be signed between the two countries in this regard in China-Pakistan Joint Cooperation Committee (JCC) meeting to be held on Dec. 29 in Beijing,"" he said.",12/28/2016,Pakistan to secure 1 bn in Chinese financing for road,business
"strong>BEIJING: The Chinese authorities, in principle, have approved the inclusion of three important projects of Sindh in the China-Pakistan Economic Corridor (CPEC), the spokesman of Sindh CM said Thursday.</strongThe decision was taken in the 6th CPEC related Joint Cooperation Committee (JCC) meeting held here at here the NDRC building.The projects include Karachi Circular Railways (KCR), Keti Bandar and Special Economic Zone in Dhabeji.The Chinese delegation was led by Vice Chairman Wang Xiaotao, while the Chief Minister Syed Murad Ali Shah led his side.The chief minister pleading his case for the KCR said that Karachi is one of the most populated cities of the world, ‘therefore, there are ample returns of the investment if made in the city’. The prime minister has approved its inclusion in the CPEC and has also assured sovereign guarantee.The JCC decided to include the project and asked the provincial government to present its feasibility within next three months. <br/>Explaining about the Keti Bandar project, the CM told the working group of JCC on Ports that it is an ideal location to serve as a Thar Coal based Power Park and a platform for future exports as it is located at a distance of 160 kilometers from Karachi and connected with metallic road.He added that the power park would have the capacity of generating 10,000 MW and there would be a transmission line to connect Keti Bunder with Jamshoro and Matiari grids.The JCC approved the project and decided to conduct feasibility study.Talking about Dhabeji, CM Murad said it stretched over 1000 acres and is located about 55 kilometers from Karachi at the Easter alignment of CPEC (N-5) or M-9. While the Keti Bander SEZ spread over 3000 acres and its industrial development potential would be realized after the construction of port.It was then decided to give a Special Economic Zone to every province, including Sindh which would have Dhabeji Special Economic Zones.",12/29/2016,KCR Keti Bandar Dhabeji Economic Zone included in CPEC,business
"strong>KARACHI: After the deregulation, CNG pump owners in Sindh grabbed the first opportunity and hiked the price up to Rs 3.5 per litre putting more burden on the consumers.</strongThe CNG owners have formed a cartel since the new mechanism was implemented. After the hike, the new price would be between 70 to 71 rupees per litre.The masses have shown resentment on the increase.Earlier this month on December 20, the Ministry of Petroleum and Natural Resources approved the deregulation of prices of CNG, following which the station owners were authorised to set their own prices.The ministry issued a notice to CNG owners stating that prices are no longer regulated by the Oil and Gas Regulatory Authority (OGRA), and the CNG station owners are free to decide and set their own prices.",12/29/2016,Sindh CNG owners hike price by up to 35 per litr,business
"strong>WASHINGTON: Handing out multibillion-dollar fines right and left to domestic and foreign financial giants, the United States has taken on the role of the unforgiving global cop of the business world.</strongIn stark contrast to the relative inertia of white-collar law enforcement in Europe, Washington most recently brought the hammer down on Deutsche Bank and Credit Suisse, which sold junk-filled, mortgage-backed securities ahead of the 2008 financial meltdown.Deutsche Bank has agreed to a payout of $7.2 billion, while Credit Suisse settled for $5.3 billion to resolve American authorities´ allegations and avoid the lengthy headache of a trial.Instead of dragging financial firms to court, the US has taken them to the cashier.American giants have not been spared: JP Morgan Chase, Citigroup, Morgan Stanley and Bank of America collectively have shelled out $40 billion to settle cases linked to toxic, crisis-era financial products.""There´s a kind of fundamentalism to US law,"" said Nicolas Veron, a senior fellow at the Brussels-based think tank Bruegel and the Washington-based Peterson Institute.""If you break the law, punishment comes down.""- Justice without borders -To be sure, British authorities have taken action over the Libor interest rate manipulation scandal but such retribution remains rare in the rest of Europe.""It isn´t so much a difference in the rules as in the manner in which they are applied. Things are much more severe in the United States,"" Veron told AFP, adding that European countries ""do not dare"" punish their national flagship companies.The American legal framework nevertheless offers the United States the means to extend the long arm of the law well beyond its borders.In the most recent cases, the United States imposed $2.6 billion in criminal penalties on the Brazilian construction conglomerate Odebrecht -- most of which will be paid to Brazil -- and a half billion on the Israeli generic drugmaker Teva Pharmaceutical. Both matters involved corruption occurring outside the United States.The United States pioneered the prosecution of such foreign bribery cases, adopting the Foreign Corrupt Practices Act in 1977 in the wake of the Watergate scandal, which allows US officials to hunt down corrupt payments abroad when the companies involved are traded on Wall Street or are otherwise exposed to US jurisdiction.In the decades since, member countries of the Organization for Economic Cooperation and Development have adopted similar laws but do not enforce them with the same vigor or frequency.Given the means and opportunity to apply its laws ""extraterritorially"" with such regularity, the United States has become a kind of worldwide anticorruption police force, and buttressed its geopolitical influence.""There´s a real nexus between economics and foreign affairs,"" said Aaron Klein, head of the center on regulation and markets at the Brookings Institution in Washington.""The next war is more likely to be fought with bonds than with bombs.""- Making Apple pay -In a different kind of case, Volkswagen´s sprawling emissions-cheating scandal also has shown the might of the US legal system and its ability to bring major companies to task.To compensate drivers and repair damage to the environment, the giant German automaker has agreed to pay out more than $15 billion so far, and doubtless will have to pay more before putting the scandal behind it. But the company still could face criminal charges.<br/>In Europe, authorities have also opened investigations into Volkswagen but by their own admission, the results will be much less spectacular.""In the European Union, the way to damages is more complicated than in the United States,"" EU Justice Commissioner Vera Jourova said in September.In the United States, authorities can be supported in their actions by so-called class-action lawsuits brought collectively by groups of private individuals who have been wronged, which can ratchet up pressure on companies. But this option does exist in Europe.European authorities meanwhile have not been completely dormant in dealing with major companies. They have opened numerous anti-trust investigations and intensified their pursuit of tax avoidance and evasion by multinational companies.Making perhaps its biggest splash to date, the European Commission at the end of August directed the iPhone maker Apple to pay 13 billion euros ($13.5 billion) in back taxes to Ireland, drawing the ire of a sizeable player: the United States.",12/29/2016,US acting as global policeman for financial cri,business
"strong>KARACHI: Media reports have implied that a fraud of Rupees 1.5 billion was committed at National Bank of Pakistan and that the bank incurred a loss of this amount. National Bank of Pakistan firmly denies these allegations.</strongIn some media reports it is also implied that National Bank of Pakistan has caused a loss to our valued client, Abandoned Properties Organization (APO). We again categorically deny these allegations. National Bank of Pakistan has acted upon the client’s instructions with respect to the activities in the APO account.In the course of several banking transactions in 2014-2016, valid instructions were received from APO’s Authorized Signatories. The client’s instructions requested National Bank of Pakistan to remit the funds to Habib Bank Limited (HBL) for onward credit to Abandoned Properties Organization. After carrying out the appropriate level of due diligence, National Bank of Pakistan remitted these funds in accordance with the client’s instructions, using the RTGS system, a secure electronic payment prevalent in the country.However, very recently we received a query from Abandoned Properties Organization concerning their account activity, and within a few days, National Bank of Pakistan completed an investigation which uncovered the fact that Habib Bank did not credit the client with the funds in accordance with the instructions that National Bank of Pakistan provided in the RTGS instructions.National Bank of Pakistan acted swiftly and registered a case with the FIA. Several people have been apprehended by the FIA, including at least 4 past and present senior officials from APO (having the authority to operate their account with National Bank of Pakistan); one or more Habib Bank officials; and a junior executive of National Bank of Pakistan. This lady has been suspended by the bank and does not represent the bank in any capacity. She remains in the FIA’s custody.National Bank of Pakistan is fully cooperating with the regulatory and investigative agencies in this case and is committed to securing the interests of its valued client, Abandoned Properties Organization.",12/30/2016,NBP Rules out misleading reports of Rs 15 Billion fraud at the b,business
